,number,species,lon,lat
1451,AMCC264802,Diadophis punctatus,-86.07486,34.86569
1461,AMCC264803,Diadophis punctatus,-86.07486,34.86569
1471,AMCC264804,Diadophis punctatus,-86.04519,34.84494
1481,AMCC264805,Diadophis punctatus,-87.23406,34.11911
1491,AMCC264806,Diadophis punctatus,-89.26167,34.36008
1501,AMCC264807,Diadophis punctatus,-89.26167,34.38444
1511,AMCC264808,Diadophis punctatus,-74.72157,39.74028
1521,AMCC264809,Diadophis punctatus,-74.15844,42.52628
1531,AMCC264810,Diadophis punctatus,-77.13591,35.02717
1541,AMCC264811,Diadophis punctatus,-74.12697,41.199
1551,AMCC264812,Diadophis punctatus,-74.3939,39.6367
1561,AMCC264813,Diadophis punctatus,-82.47873,30.28117
1571,AMCC264815,Diadophis punctatus,-82.27098,31.08629
1581,AMCC264817,Diadophis punctatus,-83.57909,29.80626
1591,AMCC264819,Diadophis punctatus,-83.032269,29.30214
1601,AMCC264821,Diadophis punctatus,-84.45333,30.32189
1611,AMCC264822,Diadophis punctatus,-84.849,30.26954
1621,AMCC265270,Lampropeltis abnorma,-88.65405,17.75217
1631,AMCC266035,Lampropeltis californiae,-109.34418,31.4864
1641,AMCC266048,Lampropeltis californiae,-112.303047,33.514442
1651,AMCC266049,Lampropeltis californiae,-112.39355,32.013371
1661,AMCC266051,Lampropeltis californiae,-111.04417,31.74867
167,AMCC266052,Lampropeltis californiae,-110.844383,32.308733
1691,AMCC266053,Lampropeltis californiae,-121.897805,37.837861
1711,AMCC266054,Lampropeltis californiae,-121.768388,37.809972
1731,AMCC266055,Lampropeltis californiae,-121.770861,37.812138
1741,AMCC266056,Lampropeltis californiae,-122.007555,37.647611
175,AMCC266057,Lampropeltis californiae,-121.995944,37.641611
176,AMCC266060,Lampropeltis californiae,-110.892519,32.308473
1771,AMCC266063,Lampropeltis californiae,-110.97431,31.76619
1781,AMCC266064,Lampropeltis californiae,-111.304284,32.445009
1791,AMCC266033,Lampropeltis californiae,-117.95538,35.84938
1801,AMCC269725,Lampropeltis californiae,-113.9472,33.88179
1811,AMCC269716,Lampropeltis californiae,-112.87644,32.47234
1821,AMCC266014,Lampropeltis calligaster,-80.83035,27.239591
1831,AMCC266015,Lampropeltis calligaster,-85.98672,34.08139
1841,AMCC266016,Lampropeltis calligaster,-77.197722,37.412573
186,AMCC266019,Lampropeltis elapsoides,-80.27,32.95
1871,AMCC266021,Lampropeltis elapsoides,-85.55,33.7
188,AMCC266025,Lampropeltis elapsoides,-80.99364,28.47344
1891,AMCC266030,Lampropeltis elapsoides,-84.97566,29.96602
1901,AMCC266023,Lampropeltis elapsoides,-76.95586,34.76674
1911,AMCC266024,Lampropeltis elapsoides,-82.73548,29.27287
1921,AMCC266026,Lampropeltis elapsoides,-82.17818,32.07663
1931,AMCC266027,Lampropeltis elapsoides,-84.53991,30.36487
1941,AMCC266028,Lampropeltis elapsoides,-84.49505,30.34218
1951,AMCC266029,Lampropeltis elapsoides,-84.97684,29.99412
1961,AMCC266031,Lampropeltis elapsoides,-84.62582,29.92897
1971,AMCC266170,Lampropeltis elapsoides,-85.29464,29.71173
2041,AMCC266059,Lampropeltis holbrooki,-92.284722,29.997778
2051,AMCC266061,Lampropeltis holbrooki,-92.284722,29.997778
2061,AMCC266080,Lampropeltis holbrooki,-90.783925,34.780025
2071,AMCC266081,Lampropeltis holbrooki,-92.931732,34.94651
2081,AMCC266083,Lampropeltis holbrooki,-94.609524,29.735881
2101,AMCC266037,Lampropeltis nigra,-90.81997,32.11461
2111,AMCC266036,Lampropeltis nigra,-87.79094,31.54119
2121,AMCC266043,Lampropeltis nigra,-89.06933,33.51001
2131,AMCC266044,Lampropeltis nigra,-85.61476,33.57377
2141,AMCC266047,Lampropeltis nigra,-90.442822,30.396667
2151,AMCC266062,Lampropeltis nigra,-85.11752,34.471979
2161,AMCC266066,Lampropeltis nigra,-86.61883,38.35781
2171,AMCC266067,Lampropeltis nigra,-89.28603,37.46119
2181,AMCC266068,Lampropeltis nigra,-88.74703,37.54113
2191,AMCC266069,Lampropeltis nigra,-89.11259,37.44518
2201,AMCC266070,Lampropeltis nigra,-83.70536,37.79277
2211,AMCC266071,Lampropeltis nigra,-83.776977,37.84116
2221,AMCC266086,Lampropeltis nigra,-89.26111,34.62736
2231,AMCC266087,Lampropeltis nigra,-89.0005,34.09969
2241,AMCC266088,Lampropeltis nigra,-88.95317,33.86578
2271,AMCC266171,Lampropeltis polyzona,-97.493043,19.842217
2281,AMCC266172,Lampropeltis polyzona,-97.493043,19.842217
2291,AMCC266173,Lampropeltis polyzona,-97.493043,19.842217
2301,AMCC266200,Lampropeltis polyzona,-108.926899,28.371576
2311,AMCC266201,Lampropeltis polyzona,-108.926899,28.371576
2321,AMCC269679,Lampropeltis splendida,-108.37975,31.772
2331,AMCC269693,Lampropeltis splendida,-109.04863,31.87072
2341,AMCC269770,Lampropeltis splendida,-109.04585,31.81564
2351,AMCC266065,Lampropeltis splendida,-109.17678,32.25522
2361,AMCC266072,Lampropeltis splendida,-106.73672,34.65897
2371,AMCC266073,Lampropeltis splendida,-106.75237,34.56257
2381,AMCC266074,Lampropeltis splendida,-106.73636,34.62846
